id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,TICKET-1001,Critical,open,Access,Printer not working,User reported an IT issue requiring support team assistance.,2024-02-20,2024-02-29,analyst1,2024-02-20 00:00:00
2,TICKET-1002,Critical,resolved,Hardware,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-01-05,2025-01-05,admin,2025-01-05 00:00:00
3,TICKET-1003,Low,resolved,Network,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-01-05,2024-01-13,it_support,2024-01-05 00:00:00
4,TICKET-1004,Medium,in_progress,Email,Slow system performance,User reported an IT issue requiring support team assistance.,2024-10-07,2024-10-09,admin,2024-10-07 00:00:00
5,TICKET-1005,Critical,closed,Security,Email not syncing,User reported an IT issue requiring support team assistance.,2025-04-09,2025-04-18,analyst1,2025-04-09 00:00:00
6,TICKET-1006,Critical,resolved,Software,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-07-08,2024-07-12,analyst1,2024-07-08 00:00:00
7,TICKET-1007,Critical,closed,Hardware,Slow system performance,User reported an IT issue requiring support team assistance.,2025-07-01,2025-07-01,soc_user,2025-07-01 00:00:00
8,TICKET-1008,High,resolved,Security,Email not syncing,User reported an IT issue requiring support team assistance.,2024-09-06,2024-09-16,it_support,2024-09-06 00:00:00
9,TICKET-1009,Critical,in_progress,Email,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-04-24,2025-04-25,analyst1,2025-04-24 00:00:00
10,TICKET-1010,Medium,in_progress,Software,System access issue,User reported an IT issue requiring support team assistance.,2025-10-20,2025-10-29,analyst2,2025-10-20 00:00:00
11,TICKET-1011,High,closed,Security,Software installation request,User reported an IT issue requiring support team assistance.,2024-06-08,2024-06-16,it_support,2024-06-08 00:00:00
12,TICKET-1012,Low,in_progress,Security,Password reset request,User reported an IT issue requiring support team assistance.,2025-07-04,2025-07-12,admin,2025-07-04 00:00:00
13,TICKET-1013,Medium,closed,Email,Email not syncing,User reported an IT issue requiring support team assistance.,2024-09-13,2024-09-18,soc_user,2024-09-13 00:00:00
14,TICKET-1014,High,open,Network,Password reset request,User reported an IT issue requiring support team assistance.,2024-02-13,2024-02-15,soc_user,2024-02-13 00:00:00
15,TICKET-1015,High,resolved,Security,Email not syncing,User reported an IT issue requiring support team assistance.,2025-07-30,2025-08-09,admin,2025-07-30 00:00:00
16,TICKET-1016,Critical,in_progress,Software,Printer not working,User reported an IT issue requiring support team assistance.,2025-11-01,2025-11-10,analyst1,2025-11-01 00:00:00
17,TICKET-1017,Critical,resolved,Software,Printer not working,User reported an IT issue requiring support team assistance.,2024-10-05,2024-10-05,it_support,2024-10-05 00:00:00
18,TICKET-1018,Low,open,Hardware,Slow system performance,User reported an IT issue requiring support team assistance.,2024-08-27,2024-09-03,it_support,2024-08-27 00:00:00
19,TICKET-1019,Medium,closed,Email,Password reset request,User reported an IT issue requiring support team assistance.,2025-09-17,2025-09-23,analyst2,2025-09-17 00:00:00
20,TICKET-1020,High,closed,Security,Slow system performance,User reported an IT issue requiring support team assistance.,2024-09-25,2024-09-29,analyst1,2024-09-25 00:00:00
21,TICKET-1021,High,in_progress,Security,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-07-24,2025-07-27,it_support,2025-07-24 00:00:00
22,TICKET-1022,High,closed,Hardware,Printer not working,User reported an IT issue requiring support team assistance.,2024-09-07,2024-09-10,analyst1,2024-09-07 00:00:00
23,TICKET-1023,Critical,resolved,Security,Laptop not turning on,User reported an IT issue requiring support team assistance.,2024-10-19,2024-10-24,analyst2,2024-10-19 00:00:00
24,TICKET-1024,Low,closed,Hardware,Software installation request,User reported an IT issue requiring support team assistance.,2024-03-20,2024-03-23,analyst1,2024-03-20 00:00:00
25,TICKET-1025,High,in_progress,Software,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-04-05,2025-04-06,soc_user,2025-04-05 00:00:00
26,TICKET-1026,Low,open,Access,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-11-22,2024-11-28,analyst1,2024-11-22 00:00:00
27,TICKET-1027,Critical,resolved,Network,Software installation request,User reported an IT issue requiring support team assistance.,2025-01-27,2025-02-02,admin,2025-01-27 00:00:00
28,TICKET-1028,Low,resolved,Network,System access issue,User reported an IT issue requiring support team assistance.,2025-04-20,2025-04-28,analyst1,2025-04-20 00:00:00
29,TICKET-1029,Low,closed,Network,Slow system performance,User reported an IT issue requiring support team assistance.,2025-04-04,2025-04-06,it_support,2025-04-04 00:00:00
30,TICKET-1030,Critical,open,Hardware,Printer not working,User reported an IT issue requiring support team assistance.,2025-11-26,2025-12-03,soc_user,2025-11-26 00:00:00
